CaseNum,Price,CaseName,KCC,"Architecture/PV
(kW)","Grid/Energy Purchased
(kWh)",Architecture/G1500,Architecture/1kWh LI,"Cost/COE
($)"
2.6MWe,30,VegasNV,bwh,35959.73854899254,236626.96875,4,74913,0.13953158259391785
2.6MWe,30,WadenaMN,dfa,20777.672601879774,211953.640625,11,60010,0.13155986368656158
2.6MWe,30,YumaAZ,bwh,39965.43195398136,193689.921875,3,80063,0.14568030834197998
2.6MWe,6,Anchorage,dfc,55065.86143612029,12760739.0,4,64859,0.17233681678771973
2.6MWe,6,Ashland,dfb,35643.05504239615,8618792.0,7,34791,0.12133023142814636
2.6MWe,6,AtlantaGA,cfa,53154.26841284689,12506829.0,,47550,0.13636617362499237
2.6MWe,6,BangorME,dfb,51109.046993433185,12262751.0,2,51272,0.1448863297700882
2.6MWe,6,BendOre,bsk,26902.474061386743,11826537.0,3,39852,0.10627399384975433
2.6MWe,6,BentonCountyOregon,csb,33251.84654773787,12699105.0,3,49809,0.12594741582870483
2.6MWe,6,BirminghamAL,cfa,49501.68339796777,12600503.0,,52843,0.13756941258907318
2.6MWe,6,BismarckND,dfb,12950.812279163167,8345707.5,5,26487,0.07676398754119873
2.6MWe,6,BlaineCountyMontana,bsk,12727.223181333806,7849957.5,6,25253,0.07813204824924469
2.6MWe,6,BoiseID,bsk,25041.313302674753,11949031.0,4,37437,0.10544262081384659
2.6MWe,6,BrewsterMA,dfb,11588.457153109455,6073253.0,8,30389,0.08660662174224854
2.6MWe,6,BurlingtonVT,dfa,52303.03056230361,12000329.0,3,50140,0.1484992355108261
2.6MWe,6,Buttonwillow,bwk,21163.67149541703,13102245.0,1.0,52172,0.10669990628957748
2.6MWe,6,CarsonCityNV,bsk,25553.76524532901,12918642.0,3,49327,0.11637953668832779
2.6MWe,6,CheyenneWY,bsk,13629.919214709596,6535362.5,7,30860,0.08661902695894241
2.6MWe,6,Chicago,dfa,16280.820957931632,6125709.0,11,34751,0.10835085064172745
2.6MWe,6,CoalvilleUT,dfb,25526.851863791293,12393536.0,3,40070,0.1057702824473381
2.6MWe,6,ColumbiaMO,cfa,31550.049610744154,9460558.0,6,37477,0.11677124351263046
2.6MWe,6,ColumbusOH,dfa,48881.13148742195,10381818.0,4,37412,0.13200868666172028
2.6MWe,6,CrestedButteCO,dfc,37829.801204042684,12272491.0,1.0,38957,0.1119668185710907
2.6MWe,6,DesMoinesIA,dfa,14072.791299477172,7921447.5,6,28482,0.08327478170394897
2.6MWe,6,DetroitMI,dfa,24427.148955114335,6482931.0,9,28425,0.10481777787208557
2.6MWe,6,EielsonAFB,dfc,44095.08561109922,10545503.0,9,60159,0.16906191408634186
2.6MWe,6,Everglades,am,42909.18344098365,7962575.0,8,37911,0.1361689567565918
2.6MWe,6,Flagstaff,dsb,32445.321065499225,12211812.0,1.0,37491,0.10372066497802734
2.6MWe,6,GreatFallsMT,bsk,23979.394840773188,7498146.5,7,28477,0.09849264472723007
2.6MWe,6,Hilo,af,17381.97355232743,8243629.0,11,30885,0.1092960461974144
2.6MWe,6,IdahoFalls,dfb,20277.383719625246,10791543.0,5,36802,0.10072381794452667
2.6MWe,6,JacksonMS,cfa,46032.02607392537,12682972.0,,52660,0.13325685262680054
2.6MWe,6,Kauai,cfb,9825.37161467097,7756449.0,6,24076,0.07317716628313065
2.6MWe,6,KootenaiCountyID,dsb,34019.04221950545,12981456.0,3,56372,0.13423344492912292
2.6MWe,6,LancasterPA,dfa,55477.44635819549,12549665.0,1,49198,0.1447950005531311
2.6MWe,6,LaredoTX,bsh,10530.447892845606,8478820.0,7.0,26162,0.08123894035816193
2.6MWe,6,LincolnNE,dfa,13785.384174347293,8279740.5,5,27055,0.07826880365610123
2.6MWe,6,LittleRockAR,cfa,38596.62149215831,12627845.0,1.0,53556,0.12875688076019287
2.6MWe,6,Longview,csb,44870.66164609424,13195320.0,2,58810,0.14668571949005127
2.6MWe,6,LosAlamosNM,dfb,39458.02879684805,12232562.0,,40631,0.11185677349567413
2.6MWe,6,MarlintonWV,cfb,59749.193651164685,12574186.0,1.0,45606,0.14633117616176605
2.6MWe,6,MedfordOR,csa,28045.198991779085,13299220.0,2,60392,0.12785162031650543
2.6MWe,6,MemphisTN,cfa,30116.631783718778,8127811.0,7,35017,0.11395307630300522
2.6MWe,6,Miami,af,21082.947106098803,12363024.0,,37743,0.08649320900440216
2.6MWe,6,MobileAL,cfa,49119.30462002936,12562755.0,,51878,0.1360347419977188
2.6MWe,6,MoscowID,csb,32270.0468710291,12521752.0,3,46581,0.12108328193426132
2.6MWe,6,NOLA,cfa,44545.237000088615,8346862.5,7,36383,0.13346627354621887
2.6MWe,6,NeahBay,cfb,52764.01860295779,10180688.0,5,38036,0.1408647894859314
2.6MWe,6,OKCity,cfa,10659.930211218832,7999741.0,6,26528,0.07718131691217422
2.6MWe,6,ORNL,cfa,43001.80512913439,12769939.0,,52282,0.12928815186023712
2.6MWe,6,PhoenixAZ,bwh,25765.750180311337,12371394.0,1.0,36027,0.09424814581871033
2.6MWe,6,PrescottAZ,csa,27299.33415510708,12452218.0,,37903,0.09445700794458389
2.6MWe,6,Pueblo,bsk,22359.698526844633,9345046.0,6,35792,0.10352902859449387
2.6MWe,6,RaleighNC,cfa,51035.92884703462,12408724.0,,45549,0.1315208077430725
2.6MWe,6,RapidCitySD,bsk,15289.735914502384,8475664.0,6,28666,0.0859149768948555
2.6MWe,6,ReddingCA,csa,23666.304710773056,13110959.0,1.0,53822,0.11151304841041565
2.6MWe,6,RichmondVA,cfa,47850.698842943035,12666734.0,,52958,0.13577130436897278
2.6MWe,6,Sacramento,csa,21124.90892302648,12378422.0,3,37525,0.09768528491258621
2.6MWe,6,SouthBendIN,dfa,23380.37113036683,6786665.5,8,30390,0.10231415927410126
2.6MWe,6,Syracuse,dfb,48081.06991446316,10201873.0,5,36687,0.13374033570289612
2.6MWe,6,TexasOil,bsh,9868.65480952515,7956019.5,6,24838,0.07436932623386383
2.6MWe,6,UPMich,dfb,20787.229110507258,6746716.5,10,36086,0.11256508529186249
2.6MWe,6,VegasNV,bwh,20565.506420503556,12421933.0,1,36208,0.08813747018575668
2.6MWe,6,WadenaMN,dfa,13802.910637294239,7630152.5,6,25410,0.07924187928438187
2.6MWe,6,YumaAZ,bwh,23972.81989571837,12382070.0,1.0,37466,0.09356534481048584
